content,positive_prob,negative_prob,sentiment_class
求问一本《青春美文》的杂志，应该是16-18年的某一期，里面有一篇言情故事里提到了《活色生香》这部电视剧，女主叫齐嘉，男主好像叫嘉树，女主原本喜欢的男生叫陆治国，还引用了“修身齐家治国平天下”这句话，后来女主去了济南大学，男主去了武汉大学，故事是be，下面有一个插图（记不大清了，可 ...全文,0.0,0.0,-1
【#17岁小伙跑步倒地心脏停搏12分钟#】12月20日，据武汉大学人民医院：11月中旬，湖北荆州的小王在跑步中突然倒地、心搏骤停，旁人迅速反应就地徒手心肺复苏，同时呼叫120救护车救援。经过12分钟紧张的胸外按压和人工呼吸，小王终于恢复了微弱的心跳和自主呼吸。随后，被紧急转运到当地医院抢救。经积 ...全文,0.913885,0.0861152,2
为雷总做的生日礼物 经过漫长的制作和等待，终于安全送达雷总手里 祝雷总生日快乐，永远年轻@雷军 ，小米和金山越来越好，大家都能拥有属于自己的回忆场景和美好未来。 感谢来自金山的大佬找到我们共同筹备这个项目，作为米粉的我非常荣幸，也感谢帮忙测量实景数据的同学。 唯 ...全文,0.999844,0.000155769,2
武汉大学初试笔试MBA MPA MEM EMBA MPAcc MTA初试管理类联考考场 进考场流程 吃饭住宿都给大家安排好啦#林晨陪你考研 #管理类联考 #MBA备考 #林晨MBA #199管理类联考 林晨陪你考研的微博视频 ,0.0,0.0,-1
【武汉大学23位学者入选2024年度科睿唯安“全球高被引科学家”】11月19，科睿唯安（Clarivate)发布2024年度“全球高被引科学家”（Highly Cited Researchers)名单。武汉大学共计23位学者上榜，较上年增加3人，位居全国高校第11位。武汉大学11名学者入选跨学科领域“全球高被引科学家”，占学校入选学者 ...全文,0.971613,0.0283866,2
【#17岁小伙跑步倒地心脏停搏12分钟#】12月20日，据武汉大学人民医院：11月中旬，湖北荆州的小王在跑步中突然倒地、心搏骤停，旁人迅速反应就地徒手心肺复苏，同时呼叫120救护车救援。经过12分钟紧张的胸外按压和人工呼吸，小王终于恢复了微弱的心跳和自主呼吸。随后，被紧急转运到当地医院抢救。经积 ...全文,0.913885,0.0861152,2
武汉大学一直都是很烂很坚很爱难的一所学校啊,0.0,0.0,-1
#今天一起向澳门问好# 【594名澳门学生在武汉高校就读：“我们是‘一国两制’的受益者”】12月19日，澳门回归祖国25周年之际，来鄂就读本科、硕士的澳门青年们纷纷表示：“我们是‘一国两制’的受益者，在好制度的指引下，找到了广阔的发展空间。”澳门贸易投资促进局武汉代表处相关负责人介绍，截至20 ...全文,0.995656,0.00434397,2
#晚安武汉#樱顶老图的窗外 银杏金黄，暖阳洒落校园 在光影交织间 小武也为珞珈冬日美景倾倒 （摄影: Lee-tcm） #校园随手拍# ,0.99988,0.000119667,2
【#女子用过期眼药水视力降至0.1#】武汉29岁女白领赵女士（化姓）因长时间对着电脑工作，感觉眼睛干涩，使用了半年前开封的眼药水后，出现红肿流泪、视力模糊等症状。经武汉大学附属爱尔眼科医院检查，被确诊为细菌性角膜炎，视力仅剩0.1。医生陈翔熙博士解释，眼药水开封后使用期限一般为一个月，过期 ...全文,0.0,0.0,-1
【事关考研，重要通知！】@亲爱的考研人，距离2025年研考仅剩1天时间，循此苦旅，终抵繁星武大与你同在。路虽远，行则将至；事虽难，做则必成。你日夜仰望的山巅，终成触手可及的星辰；你耕耘过的每一寸土地，都会馈赠你最盛大的春华秋实，请毫无保留地相信自己！以下是来自珞珞珈珈的一封重要提醒↓↓ ...全文,0.998074,0.00192582,2
#年底购车攻略# 【智能属性拉满！新势力汽车受消费者青睐】2024年，汽车“以旧换新”政策，加上湖北出台若干政策鼓励充电桩建设，让湖北人买新能源车的意愿大幅提高，注重智能化与体验感的新势力汽车越来越受到消费者的青睐。据了解，今年11月，在湖北市场，鸿蒙智行、岚图等品牌都有着不错的销量。智 ...全文,0.998368,0.00163174,2
不用跑那么远，过了长江，也有“天涯海角”。安顿好领导，到东湖边溜达。想象中的东湖夜景如西湖周边一样热闹，结果很安静。湖面很大，黑乎乎的，看不清远方。自行车道修得挺好，那就骑上一段。武汉大学就在旁边，这位置真好，如果学生谈恋爱了，有广阔天地一起手牵手散步。  ...全文,0.996757,0.00324281,2
【“天冷了要好好吃饭” #学校悄悄给我转钱了#】最近，北京邮电大学有学生发现自己的饭卡里突然多了400元钱，还接到学校的一条通知，嘱咐他们天冷了一定要好好吃饭。湖州师范学院小葛的校园银行卡里也多了一份补助，而学校的叮嘱更是让她感动。武汉大学的部分学生不久前也收到了学校的短信，为校园卡充 ...全文,0.99075,0.00924952,2
#武汉大学# #武汉大学研究生会# #武小研的晚安# 愿今晚的月光能拂去你所有的疲惫，让心灵得以宁静休憩；愿明日的朝阳带给你无限的活力，照亮你前行的道路🌞。在武大这片知识的沃土上，我们并肩作战，共同成长，每一份努力都闪耀着未来的光芒✨。 晚安，亲爱的武大研究生们！ （图源：热心山民） ,0.0,0.0,-1
【武汉大学学生会·期末周特别关怀💖】  📚期末周的钟声已经敲响，图书馆的灯光见证了每一位武大学子的辛勤与努力。在这段紧张而又充实的日子里，菌菌想说：“嘿，亲爱的WHUers，你们辛苦了！”  为了给学习生活添上一抹温暖，菌菌特别发起“期末周对你好一点”抽奖活动！  🎉参与方式：转发此微 ...全文,0.999491,0.000509193,2
勇闯武大  校园大的有点离谱了 武汉·武汉大学 ,0.133193,0.866807,0
武汉大学的水平挺高！ ,0.989202,0.0107976,2
初雪落于珞珈，银白悄覆幽径，琉璃世界静洁。 学子呵气暖手，笑谈踏雪欢悦，岁月诗意更迭。 看看去年的雪景武大，小武和你一起期待今年的初雪#看不见的武大#  （摄影：沈冠廷） ,0.994507,0.00549281,2
初雪落于珞珈，银白悄覆幽径，琉璃世界静洁。 学子呵气暖手，笑谈踏雪欢悦，岁月诗意更迭。 看看去年的雪景武大，小武和你一起期待今年的初雪#看不见的武大#  （摄影：沈冠廷） ,0.0,0.0,-1
【全国高等学校法治工作会议召开】本报讯（记者 高毅哲）12月17日至18日，全国高等学校法治工作会议在中山大学深圳校区召开。教育部党组成员、副部长熊四皓出席会议并讲话，广东省委常委、副省长张国智，中山大学校长高松出席会议并致辞。  　　会议指出，高校法治工作是教育强国建设与法治中国建设的 ...全文,0.96626,0.0337401,2
武大又给学生饭卡打钱了 ,0.0420954,0.957905,0
2025年考研横幅都挂起来啦，考试的号角已经吹响啦，扫描图二查看自己的座位号，因为林晨考研也在信息学部，就离武汉大学MBA MPA MEM EMBA MPAcc笔试考场只有5分钟的路程，就以武汉大学考点为例啦 ,0.0,0.0,-1
da 武汉·武汉大学 ,0.95135,0.0486496,2
这个23年二战考研发现的宝藏视频，来自武汉大学交响乐团。 ,0.974928,0.0250717,2
武汉大学人民医院获批国家首批卫生健康适宜技术项目  近日，国家卫生健康委医药卫生科技发展研究中心正式公布了第一批卫生健康适宜技术项目入库名单，武汉大学人民医院眼科中心（湖北省儿童青少年近视防治中心）周炼红教授团队申报的《基于大数据平台的儿童青少年近视防控体系建设》成功入选。 本次卫 ...全文,0.99497,0.00502977,2
4.66 复制打开抖音，看看【武汉大学的作品】樱顶老图，一窗银杏叶金黄。微风轻拂，叶片纷纷扬扬飘... 网页链接 Cus:/ W@M.Wm 09/21 ,0.95251,0.0474897,2
今天第二个祝我生日快乐的，只有服务器记得我 ,0.977392,0.0226076,2
【2024年武汉市大学生艺术成果展演在华中师范大学精彩上演】2024年12月19日晚，以“大学之城 文艺青春”为主题的2024年武汉市大学生艺术成果展演在华中师范大学的大学生活动中心精彩上演。 #校园里的艺术范# #寻找校园音乐人#  2024年武汉市大学生艺术成果展演在华中师范大学精彩上演 ,0.999667,0.000332758,2
婆家大嫂嫁过来十几年了，没孩子。抱养了一个女儿，取名叫静静。我嫁过去的时候，静静只有三个月。  静静抱过来没几天，大伯哥跟大嫂就外出打工了。静静跟着婆婆，跟我住在一个院子。  几个月后大嫂怀孕了，生下一个儿子，跟着他们在外面生活。紧跟着，婆婆生病去世了。  埋葬完婆婆，大伯哥跟我们商量 ...全文,0.0,0.0,-1
@武汉大学出版社 武汉大学出版社“‘一带一路’倡议与中国国家权益问题研究丛书”被评选为2024年“国家级优秀海洋图书”  　　在中国太平洋学会国家级优秀海洋图书（期刊）推荐与推广活动中，武汉大学出版社出版的“‘一带一路’倡议与中国国家权益问题研究丛书”被评选为2024年“国家级优秀海洋图书” ...全文,0.0,0.0,-1
【高校法律援助志愿者：感受被需要的“重量”】“能不能帮我看看对方是不是骗子？”“我好像买到了‘星期狗’，能不能帮我追回损失？”“怎么立遗嘱？”……这是武汉大学法律援助中心志愿者耿如昀开展服务时，常要面对的问题。耿如昀是一名在校法学生，她利用业余时间在该校法援中心无偿为经济困难市民 ...全文,0.00166898,0.998331,0
【#雷军上榜2024福布斯亚洲慈善英雄榜#】小米联合创始人雷军正在反哺母校。去年年底，为庆祝武汉大学建校130周年，他向该校捐赠13亿元人民币（1.82亿美元）。这位身家估计达232亿美元的54岁企业家表示，这些钱将用于数学、物理和计算机科学领域的研究，并支持大学生培养。武汉大学称，该笔捐赠刷新了该 ...全文,0.959505,0.040495,2
一张照片证明我来了，中年人无需懂艺术看吧从美术馆出来走到东湖公园，里面太大了骑电动车🛵骑了一个小时从武汉大学这个门出来了，感觉骑不回去了一个人出门走走停停，不用攻略，不用顾及任何人的感受，接下来去哪里我还没想好#那些平凡日子里的浪漫瞬间# ...全文,0.992892,0.00710772,2
@季风手作 这兄弟太厉害了，给雷总纯手工制作了一个重达10KG的武汉大学樱花大道实景模型。  摄影师是谁，给雷总拍的像@Amor_叶叶叶  ,0.380952,0.619048,0
【#17岁女孩一天5瓶可乐泡腐15颗牙#：可乐当水喝，当心牙酸蚀症来袭】“都说可乐是‘快乐水’，但把它当水喝了1年后，我的牙齿开始杂色斑驳，出现多个米粒大小的龋洞，我都不敢笑了。”2个月前，17岁的汪蕾（化名）在武汉大学口腔医院就诊时得知自己的牙齿被可乐“泡腐”了15颗后，懊悔不已。  牙体牙 ...全文,0.0,0.0,-1
武汉大学校花陈怡，远嫁非洲被黑人虐待，父亲解救不成选择自杀！ 顾水的微博视频 ,0.0,0.0,-1
【#湖北25考研倒计时1天#循此苦旅，终抵繁星】#湖北会保佑每一位考研er上岸#，星光不问赶路人，时间不负有心人。考研倒计时一天之际，@武汉大学 想对你说…… 祝所有湖北考研学子一”研“为定，一战成“硕”！ #为考研加油# 武汉校园的微博视频 ,0.99974,0.000259514,2
穿新鞋，开新花。 #阮诗赋的胡思乱想# 武汉·国立武汉大学 ,0.991504,0.00849581,2
来武汉大学看个车 高考想考这没考上 差的也不多，也就一百多分 ,0.346766,0.653234,0
武汉昙华林太适合city walk 哈哈逛完到旁边粮道街一条小吃街吃到饱！  今天阳光好上完课约老吴出来玩，一方面放松下针对昨天家庭教育的矛盾在舒适的氛围里更好沟通聊开，一方面觅食！  每次来粮道街别只知道吃油饼包烧卖了，哈哈天啦噜居然还有这么多好吃  粮道街美食推荐： 1.赵师傅油饼包烧卖  ...全文,0.999397,0.000602785,2
不清楚这是不是真的，武汉大学留学生硕士、博士奖学金，看上去除了吃喝之外啥都包，每月再给3000-3500人民币，应该够吃喝。 ,0.0,0.0,-1
太可怕了@北京移动 @中国移动10086 这个号码把我通讯录所有的好友发了这个信息，天啦，太可怕了😱想问问，这个还有王法吗？@北京市场监管 @法援在线公益平台 @刑法学人罗翔 @北大法宝 @政法大学刘继峰 @武汉大学法律援助中心 @中国联通客服 @法援在线公益平台 ,0.0,0.0,-1
笑了 根本不想去 ,0.000330461,0.99967,0
【命悬一线！#3厘米长铁钉射入男子心脏#】#3厘米长铁钉射入心脏男子当场昏迷#12月14日，武汉，朱先生在工作中不慎被炮钉枪射中，3厘米长的铁钉射入他心脏，朱先生当即昏迷。被工友紧急送往武汉大学中南医院急诊科。抵达医院时，朱先生处于休克状态，情况十分危急。医生进一步探查发现：铁钉直接穿透了 ...全文,0.0379251,0.962075,0
中华文化世界传播，第五届“用英语讲中国故事大会”湖南区域各大高校正在火热录制中，一起来看看中南林业科技大学现场优秀的选手们！#第五届“用英语讲中国故事大会”# ChangshaStories的微博视频 ,0.999795,0.000205213,2
#院校动态# #高等教育# 【武汉大学官宣：又一新学院，揭牌成立】12月18日，武汉大学卓越工程师学院成立大会举行。据悉，武汉大学是全国首批学位授权自主审核单位。近年来，学校自主审核新增“集成电路与工程”“人工智能”“遥感科学与技术”等一批国家急需学科博士学位授权点。目前，学校在电子信息、 ...全文,0.997339,0.00266093,2
雷军上榜2024福布斯亚洲慈善英雄榜，去年年底，为庆祝武汉大学建校 130 周年，他向该校捐赠13亿元人民币 （1.82亿美元） ,0.98354,0.0164597,2
【命悬一线！#3厘米长铁钉射入男子心脏#】#3厘米长铁钉射入心脏男子奇迹生还# 12月14日，武汉，朱先生在工作中不慎被炮钉枪射中，3厘米长的铁钉射入他心脏，朱先生当即昏迷。被工友紧急送往武汉大学中南医院急诊科。抵达医院时，朱先生处于休克状态，情况十分危急。医生进一步探查发现：铁钉直接穿 ...全文,0.0481722,0.951828,0
【命悬一线！#3厘米长铁钉射入男子心脏#】#3厘米长铁钉射入心脏男子奇迹生还# 12月14日，武汉，朱先生在工作中不慎被炮钉枪射中，3厘米长的铁钉射入他心脏，朱先生当即昏迷。被工友紧急送往武汉大学中南医院急诊科。抵达医院时，朱先生处于休克状态，情况十分危急。医生进一步探查发现：铁钉直接穿 ...全文,0.0,0.0,-1
#香港##香港身份#武汉大学#武汉大学#武汉 香港续签Danin的微博视频 ,0.0,0.0,-1
2月份公司新招了一个武汉大学博士，高层次人才引进，本硕是电子科技大学，也是985学校，结果7月上旬就辞职了！  公司当时给出的待遇：月薪25K，年终4个月奖金，也就是给了16薪，年薪大概有40W。还有，每个月公司给1500元租房补贴（两年），每月500元餐补，100元话费，市每月有1500元租房补贴（三年）。 ...全文,0.824727,0.175273,2
今日武汉小报 （2024.12.20）  ①宜昌⇄香港定期航线，正式开通！   ②别跑空！12约19日起夜上黄鹤楼将临时停演！恢复演出日期另行通知。  ③武大新学院再+1 ！武汉大学卓越工程师学院正式揭牌！  ④湖北将新增一条高速！ 天仙洪高速公路！   ⑤武汉中心城区再添樱花大道！汉阳江汉一桥汉阳桥头至长江 ...全文,0.894634,0.105366,2
发布了头条文章：《梁子湖国家站发现沉水植被恢复对湖泊氮磷负荷调控的新机制》  梁子湖国家站发现沉水植被恢复对湖泊氮磷负荷调控的新机制 ,0.0,0.0,-1
高校法律援助志愿者：感受被需要的“重量”高校法律援助志愿者：感受被需要的“重量” ,0.851319,0.148681,2
【#高校为了考研生上岸有多拼#】2025考研倒计时1天，@新浪热点 注意到，不少大学生收到了来自学校“霸总式”的关心。#考研的意义在于过程还是结果#  近日，同济大学，正在备战考研的助学服务成才对象们意外发现自己的银行卡里多了300元，此外，同济还为所有考研学子免费准备了考研加油餐。 ...全文,0.990082,0.00991781,2
湖北爱尔会员专属答谢沙龙🔥 ✅一场香薰盛宴 🉐一次心灵的深度滋养 💯一次品质生活的完美呈现 💌快来定制你的幸福香氛 名额有限，先报先得！ #湖北爱尔眼科医院##武汉大学附属爱尔眼科医院##爱尔眼科#近视手术 ,0.999919,8.08265e-05,2
#一日之计# 不管外界如何变化，我们都可以选择在每一个早晨重新开始。早安！ （via.@武汉大学） ,0.997507,0.00249285,2
别人的智慧珞珈vs我的智慧珞珈  ,0.998726,0.00127348,2
Vlog7 在武汉 回学校看看 吃吃饭打打台球 十年前我在武汉干嘛呢？ ！一大波旧照片 姐姐你吃太多了啦的微博视频 ,0.641158,0.358842,2
回来咯回来咯 武汉·武汉大学 ,0.0,0.0,-1
今晚收到了几个朋友的微信 都在祝我考研顺利  突然想到我高一时候 老师给每一个人发一个信封 要我们写下自己的高考志愿 说三年后发给我们 我写的是武汉大学新闻学 原因是我想当一个记者 像柴静一样的记者  后来高三发回给我的时候  我像做贼一样打开我牢记的愿望 又假装不记得  在下面又写下我高三的志 ...全文,0.145546,0.854454,0
17岁少年心脏骤停12分钟 重症专家上演“生死大营救”  17岁的小王在跑步中突然倒地不起，心脏停搏长达12分钟，生命悬于一线。武汉大学人民医院（湖北省人民医院）重症医学I科专家团队迅速反应，展开了一场与死神的赛跑，连续克服重重难关，经过一周治疗后，把他从死亡边缘拉了回来。 11月中旬，湖北荆 ...全文,0.969783,0.0302174,2
全球最强之测绘交流。 武汉·国立武汉大学 ,0.999423,0.000576992,2
"#校园# 秋日胜春朝,珞珈美到哭！@极目新闻 @咱们去旅游 @百姓关注 @武汉大学 @守望珞珈 ",0.99884,0.00116038,2
以为是脸肿了 没想到是长胖了七八斤 #研究生##今天也要开心# 武汉·国立武汉大学 ,0.0,0.0,-1
#丁宁推介亚冬会#北大丁宁，有了新身份！ 2024年6月10日，亚洲奥林匹克理事会官方宣布，前中国女子乒乓球运动员、大满贯得主丁宁当选为亚奥理事会运动员委员会主席。 2023年10月，正是杭州亚运会举办期间，亚奥理事会运动员委员会选举结果公开发布，丁宁成功当选。从运动员到运动员委员，第一次用新身 ...全文,0.996982,0.00301834,2
#坚持运动打卡#近日，湖北荆州花鼓戏研究中心成立揭牌仪式在汉口学院举行。据了解，这是中国戏曲艺术领域首个以普通高等院校为依托的荆州花鼓戏研究中心。来自湖北省文旅厅、省教育厅、武汉大学、汉口学院、湖北省荆州花鼓戏剧院的相关领导嘉宾及师生近800人参加了仪式。 ,0.995323,0.00467687,2
今天下午，我院特邀武汉大学人民医院杨嗣星教授，为我院临床医护人员做了《医学论文写作方法与技巧》培训。       杨教授学识渊博，所带硕博学生无数，桃李满天下。在国内外发表过许多有价值论文。也是国内十多家杂志的编委和副主编。经验丰富，学术嗅觉敏锐，技巧十足。       此次培训，对于科学规范 ...全文,0.998678,0.00132211,2
好怀念高中只需要埋头做题应付考试的日子 武汉·武汉大学信息学部 ,0.68775,0.31225,2
特朗普2.0时代来势汹汹，中美人工智能竞争正在加速。懂王搞了一系列小动作，核心就是“松绑AI监管”，延续美国优先，人工智能方面我们需要自上而下保持紧迫感啊。  美国对AI的监管政策正在放宽，这在全球人工智能领域里引起了不小的波澜。  不要以为这放宽是好事，它只是对其国内放宽，对外，尤其是咱 ...全文,0.0,0.0,-1
蛮唏嘘的 武汉大学来小县城的乡下做老师 唉太难了  其实打听一下丹阳大部分都合同制老师   照样开心快乐幸福自在 对编制的执念太太太深不是一件好事  孔乙己的长袍又长又臭 不要也罢 ,0.126607,0.873393,0
李老师，明年考虑来华科举办签售活动吧！李健 #演唱会# 武汉大学 #李健演唱会# 用户7940925337的微博视频 ,0.999664,0.000336325,2
"#澳洲留学# UOW 澳洲伍伦贡大学  1. QS排名167，和国内的武汉大学、南京大学排名等同 2. 学生拥有中国护照，包括港澳台在内，无论是在澳洲onshore，还是offshore, 均可接受 3. 在国内有admission  officer, 也就是在国内可以直接出offer， 如果等offer着急，可以联系我哈 4. 伍伦贡大学位于新南威尔士 ...全文",0.0,0.0,-1
今日语录：武大为啥不在北京啊 ,0.421558,0.578442,0
【#福布斯2024亚洲慈善英雄榜#，4位来自中国】今年榜单上的部分成员选择将资金——或者公司股份——转入他们的家族基金会，用以支持医疗保健和女性赋权等事业。  印度亿万富豪阿比舍克·洛达（Abhishek Lodha）就是一例，11月，他将上市房地产公司Macrotech Developers的1.8亿股股份（价值25亿美元）转 ...全文,0.956582,0.0434182,2
如果雷军生在美国的话，估计马斯克都得叫雷军一声哥哥。  雷军18岁的时候就是武汉学霸，以610分考入武汉大学。  21岁就开始创业，创办了一家叫三色的公司。主要业务是做汉卡的开发跟售卖。  23岁加入金山软件公司。  25岁出任北京金山软件公司的总经理。  29岁就升任为金山公司的总经理。  1999年，年 ...全文,0.0,0.0,-1
发布了头条文章：《眼屎多、泪点低……这些不起眼的小症状，竟藏着健康隐患？》 #湖北爱尔眼科医院# #武汉大学附属爱尔眼科医院# #爱尔眼科#  眼屎多、泪点低……这些不起眼的小症状，竟藏着健康隐患？ ,0.013514,0.986486,0
不知道是不是《楚天以南》让我对武汉和武汉大学赋魅了，总之离开之后是有点想念，想念江边的风，想念行船的汽笛，想念路旁高耸入云的树。武大确实很美，建筑古典，植被茂盛，凌波门外的东湖也确实蓝得像海，总之很喜欢。感觉初冬这个时间点刚刚好，不炎热，有点冷，江水没有蒸发出那么多氤氲的水汽，能 ...全文,0.999825,0.000175367,2
发布了头条文章：《近日，武汉大学人工智能学院正式揭牌！》  近日，武汉大学人工智能学院正式揭牌！ ,0.0,0.0,-1
永远不要相信你没见到的东西    都是假象   都是用假像杀死别人的   没有任何人值得可怜  世界太可怜  有些人我就是嫌弃得不想接近     皮肤好的人智商是真的低武汉大学 ,2.83664e-05,0.999972,0
【普法宣传】谣传谣应承担行政、民事和刑事责任 在信息化高速发展的今天，网络谣言如同野火燎原，迅速蔓延，对社会秩序和公众利益构成了严重威胁。阻断网络谣言，维护网络空间的清朗，需要每个人的共同努力。我们要尽量做到不信谣、不传谣，因为网络虽无疆，但言论有界，任何不负责任的言论都可能引发 ...全文,0.844457,0.155543,2
发布了头条文章：《恩施州中心医院党委书记杨祖旺一行莅临湖北爱尔眼科医院考察交流》 #湖北爱尔眼科医院# #武汉大学附属爱尔眼科医院# #爱尔眼科#  恩施州中心医院党委书记杨祖旺一行莅临湖北爱尔眼科医院考察交流 ,0.0,0.0,-1
湖北有哪些全国第一？  很多外地朋友对于湖北的实力一直有误解，可能很多人对于湖北的印象只有武汉这座城市，但是实际上湖北也有很多全国第一，实力也很强劲。   1. 小龙虾产业：湖北是全国小龙虾产业第一大省，养殖面积、产量、加工量及产业综合产值全都是全国第一。  2. 淡 ...全文,0.99694,0.00306027,2
山东人才引进 武汉大学综合测试时间:12月20日 ,0.94833,0.0516702,2
武大谢谢你的小心机 ,0.0,0.0,-1
AD诊疗和基础研究进展研讨会暨武汉大学人民医院第五届老年神经退行性疾病诊治进展研讨班  脑科学世界的微博直播 AD诊疗和基础研究进展研讨会 ,0.0,0.0,-1
2023年，高呼&quot;用核武炸中国&quot;的武汉大学985女硕士王懿，在日本活活饿死，这位曾誓言&quot;坚持不饿死&quot;的留学生，最终却惨死在了她心心念念的&quot;发达国家&quot;日本……   这个留学生叫做王懿，硕士毕业，被家人和老师给予了很大的期望。   但是这位前途光明的人物却选择了远走它国，前往了日本。   这让家人和朋友们 ...全文,0.958486,0.0415144,2
武汉大学 武汉·它山咖啡 ,0.96722,0.0327797,2
为什么不发给我。 ,0.0,0.0,-1
